,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
0,,
1,,
2,,
3,,
4,,
5,"Готовы к развитию и совершенствованию своей профессиональной профессии, предоставляем всем необходимым материалам и оборудованию для рабочего процесса, каждую неделю отмечаем работников приятными призами и","Наш мастер зарабатывает от 3000 до 9000 рублей в сутки. Мы предоставляем весь необходимый материал и оснащение для рабочего процесса, ежемесячно отмечаем работников приятным подарком и призами"
6,,
7,"Разработчик и производитель специальных агрегатов для перевозки опасного груза, поскольку наши автоприцепы и полприцепы перевозят ГСМ в городские автозаправочные сети. Мы и",
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,Международная сети магазинов всех семей с большим выбором продуктов питания по низкой фиксированной цене предлагает кандидатам вакансии ПРОДАВЕЦ-КАССИР в России. Работа в,В международной сети магазинов всех семей с широкими ассортиментами продуктов питания по низкой фиксированной цене приглашаются кандидаты в вакансии ПРОДАВЕЦ-КАСИР в России.
16,,
17,,
18,,
19,,
20,,
21,,"Проектирование и изготовление готовых изделий для того, чтобы определить соответствие действующим стандартам и требованиям. Работа над разработкой ТП, а также исследованием их во время"
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,"Если вы ищите стабильное рабочее место с перспективным профессиональным развитием, то вы ищите стабильное рабочее место в одном из крупнейших сервисных предприятий страны - стабильное рабочее",
41,"Для тех, кто столкнулся с неуплатой банкам кредитов и обладает непосильной финансовой нагрузкой, - это продуманный до минимума эффективный маркетинг и карьерный рост. Мы","Благодаря активному развитию нашей фирмы и увеличению числа сотрудников, в нашей команде требуется руководитель продаж. удобная офисная площадка в центральной части города, интересные для нас задачи"
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,"Приглашаем уборщиков производственных помещений и офисов, мы очень ценим своих сотрудников, всю свою историю компания никогда не задержала зарплату, будем рады увидеть вас в на","Приглашаем к работе уборщиком производственного и службового помещения, мы ценяем наших работников. сухой и сухой уборка производственного и службового помещения, соблюдения правил санитарного"
53,,3) Возможно совмещение работы с основным 4) Выплата сразу при заказе 5. В среднем зарплата от 600 до 950 рублей в час Стаж работы по пассажирским перевозкам от 3 лет Стаж работы по тарифам
54,,
55,,
56,,
57,"Работа с клиентской базой в CRM-системе, расходными материалами и др. своевременным информированием Управляющей о необходимых закупках. Умением работать на многозадачном режиме и четким рас",
58,,
59,,
60,,
61,,
62,"Опыт работы в агропромышленном комплексе или опыт ведения сельского хозяйства - преимущественное условие наличие базы клиентов сельскохозяйственных предприятий, фермеров - наличие удостоверений водителя","Опыт активной прямой продаж с 2 лет, клиентская база сельскохозяйственных предприятий, фермеров - преимущество. Область водительским удостоверением, готовностью к переездной работе."
63,,
64,,
65,,
