,sumy_LSA,sumy_TextRank
0, выкладка товара. поддержание чистоты. Смена с 9:00 до 19:00., выкладка товара. поддержание чистоты. Смена с 9:00 до 19:00.
1, Приемка и контроль качества сырья. участие в производственном процессе. помощь в погрузочно-разгрузочных работах., Приемка и контроль качества сырья. участие в производственном процессе. помощь в погрузочно-разгрузочных работах.
2, В связи с расширением объема услуг. в агентство недвижимости требуется кадастровый инженер. представление интересов клиента в суде., в агентство недвижимости требуется кадастровый инженер. Опыт работы от 1 года. Оборудованное индивидуальное рабочее место.
3, Вот уже 15 лет все платья создаются в Ростове-на-Дону. Мы продолжаем идти вперед не зная границ и преград. Корпоративные бонусы и скидки на дизайнерскую одежду собственного производства!, Выпускается 12 коллекций в год. до 80 различных моделей в месяц. Опыт работы в amoCRM и 1С. Опыт работы в продажах.
4," Пошив чехлов на мягкую мебель. можно обучение кто знает шить. Рабочий день с 8-00 до 18-00,пять дней."," Пошив чехлов на мягкую мебель. можно обучение кто знает шить. Рабочий день с 8-00 до 18-00,пять дней."
5, готовы развиваться и учиться новому в своей профессии. предоставляем все необходимые материалы и оборудование для работы. каждый месяц отмечаем сотрудников приятными подарками и бонусами по итогам работы., Наши мастера зарабатывают от 3 000 руб. до 9 000 руб. в день. предоставляем все необходимые материалы и оборудование для работы. каждый месяц отмечаем сотрудников приятными подарками и бонусами по итогам работы.
6, обслуживание клиентов по мини бару. умение работать в коллективе. график с 10.00 до 10.00 сутки через двое., умение работать в коллективе. график с 10.00 до 10.00 сутки через двое. в смене помощник администратора.
7, является разработчиком и изготовителем специальной техники для транспортировки опасных грузов. т.к. выпускаемые нами автоцистерны и полуприцепы-цистерны доставляют ГСМ на городские сети автозаправок. мы ищем в нашу команду активного и амбициозного человека., выполнение работ на фрезерных станках. работа на станках с ЧПУ. работа на станках.
8, Без опыта работы. График. с 8:00 до 18:00 ч., Без опыта работы. График. с 8:00 до 18:00 ч.
9, З/п 140-150 тыс. руб. Обратите внимание. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на СЕВЕР. Работодатель предоставляет проживание. Информация о работодателе.
