Unnamed: 0,full_text,sumy_LSA,sumy_TextRank,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
0,"  Обязанности:    
 
   Приёмка, расценка , выкладка товара, поддержание чистоты  
 
 Требования:  
 
   Доброжелательность, ответственность, активность, трудолюбие 
 
 Условия:  
 
   Смена с 9:00 до 19:00, 2/2 
 ", выкладка товара. поддержание чистоты. Смена с 9:00 до 19:00., выкладка товара. поддержание чистоты. Смена с 9:00 до 19:00.,,
1," Обязанности:  
 Приемка и контроль качества сырья, участие в производственном процессе, выполнение требований технолога, помощь в погрузочно-разгрузочных работах  
 
    
 
 Требования:  
 Ответственнось, пунктуальность, внимательность, знание пк, желание обучаться  
 
    
 
 Условия:  
 Оформление ТК, обучение, стабильный заработок, возможность карьерного роста  
 
    
 ", Приемка и контроль качества сырья. участие в производственном процессе. помощь в погрузочно-разгрузочных работах., Приемка и контроль качества сырья. участие в производственном процессе. помощь в погрузочно-разгрузочных работах.,,
2,"Кадастровый инженер

В связи с расширением объема услуг, в агентство недвижимости требуется кадастровый инженер

 Требования: 
Активный пользователь ПК, знание земельного права, необходимых программ.
Опыт работы от 1 года

 Обязанности: 
• составление договоров,
• заполнение заявок,
• приём и выдача документов,
• помощь в подготовке землеустроительной документации,
• представление интересов клиента в суде.

Офис в центре города.
Оборудованное индивидуальное рабочее место.

Условия оплаты:
Сдельная.

Обеспечиваем клиентскими заказами.", В связи с расширением объема услуг. в агентство недвижимости требуется кадастровый инженер. представление интересов клиента в суде., в агентство недвижимости требуется кадастровый инженер. заполнение заявок. приём и выдача документов.,,
3,"Ольга Гринюк (Olga Grinyuk) - российская марка модной женской одежды. 
  
 О компании, в которой Вам предстоит работать:  
 
 На сегодняшний день у нас за плечами более 50 фирменных магазинов и более 1000 мультибрендовых партнеров от Москвы до Чикаго; 
 Вот уже 15 лет все платья создаются в Ростове-на-Дону; 
 Выпускается 12 коллекций в год, до 80 различных моделей в месяц; 
 Мы продолжаем идти вперед не зная границ и преград, завоевывая fashion пространство. 
 
  
 Обязанности:  
 
 Развитие каналов сбыта, развитие сети, организация системы продаж; 
 Работа с действующей базой оптовых клиентов; 
 Ведение отчетности по проделанной работе; 
 Привлечение потенциальных клиентов; 
 Посещение выставок. 
 
  
 Требования:  
 
 Грамотная устная и письменная речь; 
 Уверенный пользователь ПК: Word, Excel; 
 Опыт работы в amoCRM и 1С - желательно, но не обязательно, всему научим; 
 Опыт работы в продажах (будет вашим преимуществом). 
 
  
 Условия:  
 
 Работа в крупной, динамично развивающейся компании; 
 Оформление по ТК РФ; 
 Достойная заработная плата. Оклад + бонусы; 
 Пятидневная рабочая неделя с 9.00 до 18.00; 
 Корпоративные бонусы и скидки на дизайнерскую одежду собственного производства! 
 ", Вот уже 15 лет все платья создаются в Ростове-на-Дону. Мы продолжаем идти вперед не зная границ и преград. Корпоративные бонусы и скидки на дизайнерскую одежду собственного производства!, Выпускается 12 коллекций в год. до 80 различных моделей в месяц. Опыт работы в amoCRM и 1С. Опыт работы в продажах.,,
4,"  Обязанности:    
Пошив чехлов на мягкую мебель. 
  Требования:    
Стаж приветствуется,(можно обучение кто знает шить).    
  Условия:   
Рабочий день с 8-00 до 18-00,пять дней.    "," Пошив чехлов на мягкую мебель. можно обучение кто знает шить. Рабочий день с 8-00 до 18-00,пять дней."," Пошив чехлов на мягкую мебель. можно обучение кто знает шить. Рабочий день с 8-00 до 18-00,пять дней.",,
5,"  Обязанности:     Дружная команда салона красоты бизнес-класса ""Моя прекрасная леди"", с отличным руководителем, ищет новых сотрудников – мастеров маникюра и педикюра. Мы предоставляем обеспечительный платёж первые 2 месяца работы, косметику, оборудование, расходные материалы и постараемся сделать всё, чтобы Вы чувствовали себя на работе комфортно. Наши мастера зарабатывают от 3 000 руб. до 9 000 руб. в день. График работы и выплаты ЗП оговаривается индивидуально. Будем рады вашему звонку. Локация: метро Маяковская, Цветной бульвар, Гоголевский бульвар, Полянка. Другой район по Вашему запросу.    Требования:     Вы наш мастер ногтевого сервиса если:      владеете классическими и аппаратными техниками;   опыт работы от 1 года;   идеально покрываете гель-лаком и стойкими лаками;   общительны, дружелюбны и клиентоориентированы;   готовы развиваться и учиться новому в своей профессии.     Условия:      график работы любой по договоренности;   возможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП;   предоставляем все необходимые материалы и оборудование для работы;   гарантированный выход на первые 2 месяца по договоренности;  чаевые полностью ваши;   обучение у лучших технологов брендов и сети;  все салоны в шаговой доступности от метро (5 минут ходьбы);    лучшие бренды материалов и оборудования Bandi, Emi, Kinetiks, Strong, Max;   гостеприимный, дружный коллектив;   каждый месяц отмечаем сотрудников приятными подарками и бонусами по итогам работы.     Цены:     Маникюр с покрытием гель -лак:  3 000 руб. – 4 900 руб.   Педикюр с покрытием гель-лак:  3 500 руб. – 4 500 руб.  ", готовы развиваться и учиться новому в своей профессии. предоставляем все необходимые материалы и оборудование для работы. каждый месяц отмечаем сотрудников приятными подарками и бонусами по итогам работы., Наши мастера зарабатывают от 3 000 руб. до 9 000 руб. в день. предоставляем все необходимые материалы и оборудование для работы. каждый месяц отмечаем сотрудников приятными подарками и бонусами по итогам работы.,"Готовы к развитию и совершенствованию своей профессиональной профессии, предоставляем всем необходимым материалам и оборудованию для рабочего процесса, каждую неделю отмечаем работников приятными призами и","Наш мастер зарабатывает от 3000 до 9000 рублей в сутки. Мы предоставляем весь необходимый материал и оснащение для рабочего процесса, ежемесячно отмечаем работников приятным подарком и призами"
6,"Обязанности: запись , встреча, обслуживание клиентов по мини бару. 
 
    
 
Требования: грамотная речь , стрессоустойчивость, умение работать в коллективе. 
 
    
 
Условия: график с 10.00 до 10.00 сутки через двое, в смене помощник администратора. 
 
    
 ", обслуживание клиентов по мини бару. график с 10.00 до 10.00 сутки через двое. в смене помощник администратора., умение работать в коллективе. график с 10.00 до 10.00 сутки через двое. в смене помощник администратора.,,
7," Предприятие  ООО ""Энергомаш""  является разработчиком и изготовителем специальной техники для транспортировки опасных грузов. Продукция предприятия востребована в любом городе и регионе, т.к. выпускаемые нами автоцистерны и полуприцепы-цистерны доставляют ГСМ на городские сети автозаправок, транспортируют нефть в местах нефтедобычи и переработки. Сферы деятельности, для которых предприятие выпускает спецтехнику, очень обширны.  Предприятие на сегодняшний день имеет несколько производственных площадок, обособленных подразделений, чтобы обеспечить возможности комфортной работы для сотрудников.  В связи с расширением производства, мы ищем в нашу команду активного и амбициозного человека, который любит работать и самое главное зарабатывать!      Обязанности:     выполнение работ на токарных станках,  выполнение работ на фрезерных станках,  выполнение работ на сверлильных станках,  Работа на станках класса 1К62, TNTL290 стойка Fanuc  чтение чертежей,  нарезка наружной и внутренней резьбы.       Требования:     Опыт работы от 3 лет,  Знание требований, предъявляемых к обработке деталей,  Знание техники безопасности,  Аккуратность, умение самостоятельно работать.       Условия:     График работы 5/2, сб, вс - выходные, или 6/1, вс - выходной,  Место работы: г. Чебаркуль, пос. Мисяш,  Бесплатное проживание в рабочем общежитии на территории завода,  Официальное оформление, в соответствии с ТК РФ     ", является разработчиком и изготовителем специальной техники для транспортировки опасных грузов. т.к. выпускаемые нами автоцистерны и полуприцепы-цистерны доставляют ГСМ на городские сети автозаправок. мы ищем в нашу команду активного и амбициозного человека., Продукция предприятия востребована в любом городе и регионе. выполнение работ на токарных станках. выполнение работ на фрезерных станках.,"Разработчик и производитель специальных агрегатов для перевозки опасного груза, поскольку наши автоприцепы и полприцепы перевозят ГСМ в городские автозаправочные сети. Мы и",
8," 
Требования:  Без опыта работы
График: 5/2,  с 8:00 до 18:00 ч. ", Без опыта работы. График. с 8:00 до 18:00 ч., Без опыта работы. График. с 8:00 до 18:00 ч.,,
9," 
Требования:  Строительная компания приглашает на работу вахтовым методом на СЕВЕР. З/п 140-150 тыс. руб. Обратите внимание: опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Информация о работодателе: Строительная компания.
", З/п 140-150 тыс. руб. Обратите внимание. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на СЕВЕР. Работодатель предоставляет проживание. Информация о работодателе.,,
